"","census_tract_code","year","arrests_B","arrests_W","arrests_total","state","county","ct_pop","ct_white","ct_black","pct_white","pct_black","Black_per_arrest","White_per_arrest","total_per_arrest","Total_arest_over_total_pop","Black_arest_over_Black_pop","White_arest_over_white_pop","SIR_arrests","SIR_B","SIR_W"
"73",10800,2010,76,103,181,37,129,2885,1388,665,0.481109185,0.2305026,42.0209828823854,56.9298729983435,100,6.27361269973311,11.4268531047963,7.42021468193934,1.83437563422917,1.00815519823695,3.38554530300792
"74",10800,2011,58,126,185,37,129,2760,1355,649,0.490942029,0.235144928,31.3884386817936,68.1253376553214,100,6.7026557008804,8.93544908334617,9.29820677440779,1.95973896861497,0.788323623224099,4.24206536973912
"75",10800,2012,81,133,216,37,129,2259,1387,540,0.61398849,0.239043825,37.5289217954651,61.591855622397,100,9.56132973307954,14.9972227365303,9.58834979453536,2.79493095256422,1.32279751311331,4.37476794939813
"76",10800,2013,60,114,174,37,129,2420,1698,275,0.701652893,0.113636364,34.5203905801264,65.5370476737507,100,7.18978554605182,21.8102508178844,6.71338554855427,2.10186507181922,1.92104596283199,3.06484651196527
"77",10800,2014,56,112,168,37,129,2153,1431,330,0.664653971,0.153274501,33.372992266508,66.686496133254,100,7.80270307928104,16.9645561950924,7.82614771853819,2.28071568219904,1.49494459811512,3.57110119314584
"78",10800,2015,29,99,132,37,129,2497,1769,304,0.70845014,0.121746095,22.0287660862983,75.0189250567752,100,5.2861319130191,9.53633673133838,5.59606579616754,1.54540572812941,0.840187624276957,2.55502874469684
"79",10800,2016,56,126,188,37,129,2699,1781,414,0.659874027,0.153390144,29.8245614035088,67.0388091440723,100,6.96528472453781,13.5233035498672,7.07427993936331,2.03647999984525,1.19226829380384,3.2300006256489
"80",10800,2017,52,132,185,37,129,2644,1775,425,0.671331316,0.160741301,28.1469475958941,71.366828741221,100,6.99670965545933,12.2324159021407,7.43620077742099,2.04562336810725,1.07851118870476,3.39521899016041
"81",10800,2018,61,165,233,37,129,2907,1817,558,0.625043,0.191950464,26.2119262119262,70.8279708279708,100,8.0148601699288,10.9299408708117,9.08040283968962,2.34352578326183,0.964096766020631,4.14616953431436
"82",10900,2010,24,69,94,37,129,2163,1990,65,0.920018493,0.030050855,25.6110520722636,73.432518597237,100,4.34561508945495,36.8663594470046,3.46716245414803,1.27022295481424,3.21771649938128,1.58346670652082
"83",10900,2011,15,104,119,37,129,2252,2001,99,0.888543517,0.043960924,12.6784214945424,87.4055415617128,100,5.28395719550642,15.1362260343088,5.19714157213533,1.54457994478829,1.32650922178836,2.37358425079018
"84",10900,2012,13,65,79,37,129,2197,2040,71,0.928538917,0.032316796,16.5613147914033,82.3008849557522,100,3.59564880979473,18.2841068917018,3.18611832753296,1.05102909668969,1.59744983943683,1.45519280857693
"85",10900,2013,6,53,59,37,129,2352,2137,118,0.908588435,0.050170068,10.321489001692,89.8477157360406,100,2.50839675183878,5.08044030482642,2.47999625660942,0.733281077490256,0.445802295688874,1.13279893696947
"86",10900,2014,15,40,55,37,129,2463,2215,156,0.899309785,0.063337393,27.4047186932849,72.7767695099818,100,2.23295846697251,9.60922485586163,1.80578754909485,0.652797357335892,0.844552110891871,0.824898349973566
"87",10900,2015,11,54,66,37,129,2362,1947,298,0.824301439,0.126164268,16.7927382753404,81.8456883509834,100,2.79412387282503,3.690036900369,2.77335524626367,0.816812003428245,0.325089508663847,1.26653944406219
"88",10900,2016,24,70,95,37,129,2256,1896,300,0.840425532,0.132978723,25.34174553102,73.7118822292324,100,4.21080625858783,7.99733422192602,3.6917884077844,1.2308845650361,0.704571507795422,1.68586665129823
"89",10900,2017,27,107,136,37,129,2470,1969,336,0.797165992,0.136032389,19.9118295371051,78.6921381337252,100,5.50584996558844,8.0333234156501,5.43395459854756,1.60962061627787,0.707939592234655,2.48164899155396
"90",10900,2018,18,58,76,37,129,2415,2037,223,0.843478261,0.092339545,23.784494086728,76.3469119579501,100,3.14686762452901,8.0681308830121,2.84718472338128,0.919954444679881,0.71017065094293,1.30038779061466
"91",11000,2010,254,64,321,37,129,2473,1072,1347,0.433481601,0.544682572,79.1342260977888,19.9626284646528,100,12.9796611540172,18.8553188330488,5.9695923887697,3.79457473173791,1.66453660884247,2.72110606828862
"92",11000,2011,263,58,326,37,129,2450,1167,1177,0.476326531,0.480408163,80.6807727690892,17.8166206685066,100,13.3055793641076,22.3430464701385,4.9695827264159,3.88981449696293,1.97226564983289,2.26604098666146
"93",11000,2012,219,65,284,37,129,2322,1221,969,0.525839793,0.417312661,77.1207321365716,22.9144667370644,100,12.230308772232,22.5982870704778,5.32306936368848,3.57523781227686,1.99451156811527,2.42763485401503
"94",11000,2013,264,51,316,37,129,2197,1213,860,0.552116523,0.391442877,83.5495096488453,16.1657703258463,100,14.3825952391789,30.6941053365888,4.20410518506306,4.20411638675876,2.70876649807961,1.91727473447896
"95",11000,2014,200,79,279,37,129,2574,1193,1285,0.463480963,0.499222999,71.694733070584,28.3410963812254,100,10.8387397537003,15.56299120691,6.62140642024977,3.16882313396191,1.37385331683411,3.01949456107768
"96",11000,2015,213,69,283,37,129,2460,1182,1158,0.480487805,0.470731707,75.273754856941,24.4083362769339,100,11.5035974147392,18.392194111044,5.8370696218594,3.36303052899665,1.62349825297341,2.66172859776077
"97",11000,2016,194,92,286,37,129,2414,1127,1226,0.466859983,0.507870754,67.8434113946173,32.1915414190842,100,11.8470651588584,15.8225267107088,8.16254103451335,3.4633662014457,1.39672337636468,3.72146823262458
"98",11000,2017,224,119,343,37,129,2344,1064,1195,0.453924915,0.509812287,65.3162343340134,34.7129116875546,100,14.632481549422,18.7432014057401,11.1831594774927,4.27750429542295,1.65451665752616,5.09743542042819
"99",11000,2018,255,96,351,37,129,2284,1192,977,0.521891419,0.427758319,72.657362574765,27.3711193392196,100,15.3671030165054,26.097635861222,8.05301568660347,4.49211360538517,2.30337727183454,3.6723256757536
